image,ground_truth
test001_1.jpg,0149BBCD
test001_2.jpg,0247BUZO
test001_3.jpg,2248BPKM
test002_1.jpg,1235BGAE
test003_1.jpg,2346BUZF
test003_2.jpg,1599BJVK
test004_1.jpg,0269BEHV
test005_1.jpg,8789DDKM
test006_1.jpg,1239TKC
test007_1.jpg,5688ADEE
test008_1.jpg,1157DKAAB
test008_2.jpg,1799AAFE
test009_1.jpg,1588AHN
test009_2.jpg,1469KGB
test010_1.jpg,1469BCNP
test010_2.jpg,1147HUY
test011_1.jpg,1169HIL
test011_2.jpg,BRI9374
test011_3.jpg,0124DAIG
test012_1.jpg,1788EBA
test013_1.jpg,1349BUZP
test013_2.jpg,1128BWSO
test014_1.jpg,1388BDFX
test015_1.jpg,1789TADB
test016_1.jpg,1157QDE
test017_1.jpg,2889ADFS
test018_1.jpg,0367ALU
test019_1.jpg,7ADHS
test019_2.jpg,1599WYKB
test020_1.jpg,3468AGEK
test020_2.jpg,1239ADPY
test021_1.jpg,0179DABW
test021_2.jpg,1236ZVW
test022_1.jpg,1258WZO
test022_2.jpg,0122ELU
test022_3.jpg,2338LIB
test023_1.jpg,0137BJLO
test024_1.jpg,2469BTRU
test025_1.jpg,5558SPL
test025_2.jpg,2588RRL
test025_3.jpg,1158WZO
test025_4.jpg,0489UV
test026_1.jpg,2569NFD
test026_2.jpg,3368LZX
test027_1.jpg,0159IGN
test027_2.jpg,0119BCLR
test027_3.jpg,0148AAL
test028_1.jpg,1348LOE
test028_2.jpg,1346AAAL
test029_1.jpg,1158WWF
test029_2.jpg,1689GN
test029_3.jpg,1588LOO
test029_4.jpg,1346LAAA
test030_1.jpg,0268SNF
test030_2.jpg,1489GET
test031_1.jpg,0156LJQ
test031_2.jpg,O1568LQ
test031_3.jpg,1239LAAZ
test032_1.jpg,2457SYKB
test032_2.jpg,1129WK
test033_1.jpg,1456LKV
test033_2.jpg,2369LAG
test033_3.jpg,4789WG
test033_4.jpg,1267LABJ
test034_1.jpg,1118LSU
test034_2.jpg,O1167WV
test034_3.jpg,O1136SCF
test034_4.jpg,0257LAAD
